Nombre,Categoría,Ciudad,Provincia,Instagram
"Noro Plaza | Apartamentos Boutique","hotel","A Coruña","A Coruña","https://instagram.com/noroplaza"
"Hotel Spa A Quinta Da Auga Relais & Châteaux","hotel","Santiago de Compostela","A Coruña","https://instagram.com/aquintadaauga"
"Milongas Parrillada A Coruña","restaurante","A Coruña","A Coruña","https://instagram.com/milongasparrillada"
"SenPan","restaurante","A Coruña","A Coruña","https://instagram.com/senpanexoticfusion"
"El De Alberto","restaurante","A Coruña","A Coruña","https://instagram.com/el_de_alberto"
"Pedra Furada Coruña","restaurante","A Coruña","A Coruña","https://instagram.com/morrofinotaberna"
"Deabejas","restaurante","A Coruña","A Coruña","https://instagram.com/deabejasgastrobar"
"Terreo Cocina Casual","restaurante","A Coruña","A Coruña","https://instagram.com/terreococinacasual"
"Restaurante La Masía","restaurante","A Coruña","A Coruña","https://instagram.com/restaurante_la_masia"
"Gazteka","restaurante","A Coruña","A Coruña","https://instagram.com/gazteka_"
"Takeo Tex-Mex Food&Drinks (A Coruña)","restaurante","A Coruña","A Coruña","https://instagram.com/takeoo.es"
"Tandoori","restaurante","Vitoria-Gasteiz","Álava","https://instagram.com/tandoorivitoria"
"Restaurante La Bodeguilla Lanciego","restaurante","Vitoria-Gasteiz","Álava","https://instagram.com/restaurantelanciego"
"BLUE Café Teatro","bar","Albacete","Albacete","https://instagram.com/bluecafeteatro"
"MIRALMUNDO Alojamientos Rurales Aýna","hotel","Ayna","Albacete","https://instagram.com/miralmundo"
"Hotel Spa Eliá","hotel","Alcalá del Júcar","Albacete","https://instagram.com/hotelspaelia"
"Tapería Ca La Yaya.","restaurante","Albacete","Albacete","https://instagram.com/taperiacalayaya"
"Casa Antonio|Restaurante Almansa|","restaurante","Almansa","Albacete","https://instagram.com/casaantoniorest"
"China Town Restaurante","restaurante","La Roda","Albacete","https://instagram.com/restauranteschinos"
"Mesón de Pincelín","restaurante","Almansa","Albacete","https://instagram.com/meson_pincelin"
"Camping Restaurante Río Tus, Yeste, Albacete","restaurante","Albacete","Albacete","https://instagram.com/campingriotus"
